image_name,steering_angle,INTERSECTION
1.jpg,0.00433522110272,0
2.jpg,0.0161826213676152,0
3.jpg,0.0100574992747633,0
4.jpg,0.0155385296338426,0
5.jpg,0.0159114727561521,0
6.jpg,0.0182772770720986,0
7.jpg,0.018326916158104,0
8.jpg,0.0160436270795961,0
9.jpg,0.0110279697893181,0
10.jpg,0.009170573971242,0
11.jpg,0.010853196748678,0
12.jpg,0.0141863536058807,0
13.jpg,0.011841592107684,0
14.jpg,0.0057465353150753,0
15.jpg,0.0044633519829887,0
16.jpg,0.0108343376851968,0
17.jpg,0.0051095692074606,0
18.jpg,0.0062121660448262,0
19.jpg,0.005172379592851,0
20.jpg,0.0050914617691912,0
21.jpg,0.0061370090329083,0
22.jpg,0.0032211573138138,0
23.jpg,0.0001189367843408,0
24.jpg,0.0008702007148917,0
25.jpg,-0.0019200143322282,0
26.jpg,0.0005834860433339,0
27.jpg,0.0004077087725904,0
28.jpg,-0.0019988450380022,0
29.jpg,-0.0013978332052859,0
30.jpg,0.0025127261498278,0
31.jpg,0.0108673451165492,0
32.jpg,0.0137950774488993,0
33.jpg,-0.0092898285774044,0
34.jpg,-0.0124339583387642,0
35.jpg,-0.0144554200090831,0
36.jpg,-0.0164942900534597,0
37.jpg,-0.01139233859457,0
38.jpg,-0.0068803767772302,0
39.jpg,-0.0052646011170973,0
40.jpg,0.0006286429025144,0
41.jpg,0.0030849862639786,0
42.jpg,-0.0005150890037183,0
43.jpg,0.0033276577085938,0
44.jpg,0.006862551859332,0
45.jpg,0.0074093319524173,0
46.jpg,0.0040394944335446,0
47.jpg,0.004759296992139,0
48.jpg,0.0044512854523643,0
49.jpg,0.0018035057178704,0
50.jpg,-0.0007443929802989,0
51.jpg,-0.0038699831568652,0
52.jpg,-0.0009397170988406,0
53.jpg,0.0033335122820051,0
54.jpg,0.0119236820935796,0
55.jpg,0.0093521382301319,0
56.jpg,0.015319354254566,0
57.jpg,0.039955707990193,0
58.jpg,0.0554162785448455,0
59.jpg,0.0683958595961655,0
60.jpg,0.0696522806609747,0
61.jpg,0.0699982093025444,0
62.jpg,0.0879194252384701,0
63.jpg,0.0784844094887941,0
64.jpg,0.0784416995150967,0
65.jpg,0.0917508032693159,0
66.jpg,0.0887002888916677,0
67.jpg,0.0890400025637147,0
68.jpg,0.0701769479506176,0
69.jpg,0.0674448461073461,0
70.jpg,0.0733411464795417,0
71.jpg,0.0880982148673764,0
72.jpg,0.0930025345709997,0
73.jpg,0.0942064870219347,0
74.jpg,0.0968592562626398,0
75.jpg,0.0993988806769841,0
76.jpg,0.0954041310924077,0
77.jpg,0.0946943332829904,0
78.jpg,0.0932193392566871,0
79.jpg,0.0934183705512552,0
80.jpg,0.0935961791844202,0
81.jpg,0.090361012287988,0
82.jpg,0.0856068964309163,0
83.jpg,0.0813358890145095,0
84.jpg,0.0841427765139419,0
85.jpg,0.0888812708699898,0
86.jpg,0.0912156141438309,0
87.jpg,0.0912945767215316,0
88.jpg,0.091067069525534,0
89.jpg,0.0860625113151766,0
90.jpg,0.0860121595710316,0
91.jpg,0.0924759668857422,0
92.jpg,0.0891021128618089,0
93.jpg,0.0922315687342655,0
